Region,Country,Location,City,Course,Play,Type,i100,Date,NumberHoles,Architect,Budget,Budget2,Apprentice1,Apprentice2,Construction,ConstructionURL,Super,Irrigation,Bunkers,Sand,Greens,Fairways,Year,TypeOfJob,Status,Current,History,DataCurated,Latitude,Longitude,ApproxGPS,Website,MediaWeb,YouTube,Instagram,InstaCaption,BackTee,AnnualGroundsBudget,Acres,Equiprment,AnnualWater,WaterSrc,Comments,Comments2,YouTubeCaption,Twitter,TwitterCaption,Bob,ArchitectURL,Owner,Opposition,Permits,MgmtCo,Irrigation
N America,USA,Ohio,,Coldstream,Once,Member,,2021,,Foster ,,,,,,,,,,,,,,Renovate,Open,,Wilson,2022-11-01,39.049169,-84.3505,,https://www.coldstreamcc.com/,,,,,,,,,,,,,,feedtheball/status/1591210562360266752,Duncan,,,,,,,
N America,USA,Ohio,,Columbus CC,Once,,,2021,,Hargrave,,,,,,,,,,,,,,Renovate,Open,,Ross,2020-09-29,39.973175,-82.86862,,https://www.columbuscc.com/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Ohio,,Kenwood CC Kendale,Once,,,2021,,Straka Fry,$5M,,,,Wadsworth,,,,,,,,1930,Renovate,Open,,Diddle,2020-11-28,39.183552,-84.388511,,https://www.kenwoodcc.com/,,Vwb6_iX9_NQ,kenwoodcc,Kenwood,,,170,,,,,,June,,,,,,,,,
N America,USA,Ohio,,Muirfield Village ,Member,,100,2021,,Nicklaus,,,,,LaBar,,,,,,,,,Renovate,Open,,,2021-06-05,40.140485,-83.143112,,https://caddies.pgatourhq.com/static-assets/uploads/muirfield-course-renovation-update-2020.pdf,,UGdEegxu8e4,muirfieldvillagegolfclub,MV,,,,,,,,,GOLF,jacknicklaus/status/1289643218586353664,Onsite,,,,,,,
N America,USA,Ohio,,Terrace Park,Once,,,2021,,Staples,,,,,,,,,,,,,,Restore,Open,,Travis,2021-04-25,39.157495,-84.293013,,https://www.terraceparkcc.com/,,,,,,,,,,,,,,TerraceParkCC/status/1385997211276914688,Hole 13,,,,,,,
N America,USA,Oklahoma,,Cedar Creek GC,Once,,,2021,,Craig,,,,,,,,,,,,,,Restore,Open,,,2021-04-20,34.205346,-95.011494,,https://golfoklahoma.org/cedar-creek-golf-course-to-celebrate-first-phase-of-improvements/,,,,,,,,,,,Broken Bow,,,craig_colton/status/1296561952618164225,Bunkerless,,,,,,,
N America,USA,Pennsylvania,,Bob O’Connor,Govt.,Public,Short,2021,,Cervone ,,,,,,,,,,,,,,Rebuild ,Open,,,2022-05-18,40.437792,-79.936605,,https://www.golfcourseindustry.com/article/first-tee-pittsburgh-golf-course-schenley-park/,,,,,,,,,,,,,,SHistorians/status/1350893624511377410,Shistorians,,,,,,,
N America,USA,Pennsylvania,,Llanerch,Once,,,2021,,Schneider,,,Blake Conant,,Total Turf,,,,,,,,,Renovate,Open,,Findlay,2020-09-22,39.969899,-75.316354,,https://www.llanerchcc.org,,,llanerchcc,Llanerch,,,,,,,,,,castaldi_tom/status/1331967398950432770, Nov 2020,,,,,,,
N America,USA,Pennsylvania,,Philadelpha CC Cen.,Member,,,2021,,Forse Nagle,,,,,Mottin,,,,,,,,,Renovate,Open,,Flynn,2020-09-23,40.062326,-75.294328,,https://www.philadelphiacc.net/,,gy-gmw6ekS0,,,,,,,,,Mottin,,Hole 4 2018,,,,,,,,,
N America,USA,Pennsylvania,,Waynesborough,Once,Member,,2021,,Green,,,,,,,,,,,,,1965,Renovate,Open,,G Fazio,2022-12-19,40.026873,-75.4675964,,https://www.wcc1965.org/golf,,,,,,,,,,,,,,TurfBergers/status/1520134254981701633,Front 9,,,,,,,
N America,USA,Pennsylvania,,McCall GC,Once,Member,,2021,,Forse Nagle,,,,,,,,,,,,,,Renovate,Open,,Ross Flynn,2021-04-28,39.976851,-75.316539,,https://static1.squarespace.com/static/5cb77ff54d8711d2a79f2eeb/t/5fdcc94f57b8971cd7a87c63/1608304976601/December+2020.pdf,,fEh_agPaZ5Y,,,5000,,,,,,,,Timeline,wvugolfarchie/status/1387063500787363841,Nagle,,,,,,,
N America,USA,South Carolina,,Briar’s Creek,Once,,,2021,,Rees Jones,$6.5M,,,,,,,,,,,,,Renovate,Open,,,2021-01-28,32.766279,-80.168921,,http://www.briarscreek.com/,,,,,,,,,,,,,,GOLFRealtyBUZZ/status/1352393773804908544,Done,,,,,,,
N America,USA,South Carolina,,Greer,Once,,,2021,,Lawrence,,,,,,,,,,,,,,Renovate,Open,,,2021-01-31,34.282158,-82.582872,,https://www.greergolf.com/gallery,,s8OI0zcYPzA,greergolfcourse,Greer,,,,,,,,,Tahoma 31,,,,,,,,,
N America,USA,South Carolina,,Seabrook Ocean Winds,Once,,,2021,,Swanson Jones,,,,,,,,,,,,,,Renovate,Open,,Byrd,2021-11-15,32.566428,-80.18083,,https://www.seabrookisland.com/golf/ocean-winds/,,rLe7DMnxI9U,,,,,,,,,,,Bryce Swanson,,,,,,,,,
N America,USA,South Carolina,,Sea Pines,Once,Public,,2021,,Smith,,,,,MacCurrach,http://www.maccurrachgolf.com/,,,Capillary Concrete,,TifEagle,,,Renovate,Open,,Palmer,2021-09-29,32.155769,-80.778329,,https://www.golfcourseindustry.com/article/sea-pines-country-club-golf-course-enhancements/,,,,,,,,,,,,,,maccurrachgolf/status/1443259853196210178,TifEagle,,,,,,,
N America,USA,South Carolina,,Patriot Grand Harbor,Once,Member,,2021,,Sherman Love,,,,,,,,,,,,,,Renovate,Open,,,2022-08-01,34.206727,-81.971309,,https://grandharbor.net/,,qoGN8u0fxGE,scotsherman,Sherman,,,,,,,,,2016,Love3GolfDesign/status/1357079058128003075,Bunkers,,,,,,,
N America,USA,South Carolina,Myrtle Beach,Pine Lakes,Holiday,Public,,2021,,Schreiner,,,,,,,,,,,Sunday Bermudagrass,,1927,Renovate,Open,,White,2021-12-23,33.734829,-78.853925,,https://www.golfcourseindustry.com/article/pine-lakes-sunday-bermudagrass-restoration/,,,,,,,,,,,Open July 22,,,,,,,Founders Group International President Steve Mays,,,,
N America,USA,South Carolina,,Ware Shoals,Govt.,Public,,2021,,Sherman,,,,,,,,,,,,,,Renovate,Open,,,2021-03-02,34.44305,-82.662096,,https://www.instagram.com/p/CLsMBgnlFhM/,,,scotsherman,Sherman,,,,,,,9 holes,,,,,,,,,,,
N America,USA,South Dakota,Aberdeen,Lee Park,Govt.,Public,,2021,,Norby,,,,,,,,,,,,,,Renovate,Open,,,2021-03-05,45.47766,-100.746412,,https://www.aberdeen.sd.us/DocumentCenter/View/8005/LPGC-Renovate-Plans,,,,,,,,,,,,,,golfnorby/status/1367709601412571136,14th hole,,,,,,,
N America,USA,Tennessee,,Oak Ridge,Once,,Short,2021,,Bergin,,,,,,,,,,,,,,New,Open,,,2021-12-21,35.90596,-84.4187,,https://thepreserveatoakridge.com/amenities/the-patch/,,VtTCj8SUy_o,thepreserveatoakridge,TN,,,,,,,,,Flyover,,,,,,,,,
N America,USA,Tennessee,,Cherokee CC,Once,,,2021,,Rae,,,,,,,,,,,,,,Renovate,Open,,,2021-01-27,35.933346,-83.989306,,https://www.cherokeecountryclub.com/,,,,,,,,,,,,,,TylerRaeDesign/status/1354178392598458368,88 Acres,,,,,,,
N America,USA,Texas,,Circle T Ranch,Once,Member,Short,2021,,Hanse ,,,,,,,,,,,,,,New,Open,,,2022-12-19,32.9176819,-97.1007358,,https://www.circletranch.com/,,,,,,,,,,,Perot,,,,,,,,,,,
N America,USA,Texas,,Grand Oaks Reserve,Once,Member,,2021,,Nuzzo ,,,,,,,,,,,,,,New,Open,,,2022-01-28,30.333969,-95.062512,,https://www.grandoaksgc.com/,,,,,,,,,,,9 Grand,,,,,,,,,,,
N America,USA,Texas,,Hills of Lakeway,Once,Member,,2021,,Nicklaus,,,,,,,,,,,,,,Renovate,Open,,,2021-12-07,30.347242,-97.989403,,https://www.clubcorp.com/Clubs/The-Hills-of-Lakeway,,MX3g2HPBJvc,hillsoflakewaycc,Lakeway,,,,,,,,,Reopening,GOLFRealtyBUZZ/status/1334606906174926848,Press,,,,,,,
N America,USA,Texas,,Olmos Basin,Govt.,Public,,2021,,Blume,$4M,,,,Wadsworth,,,,,,,,1963,Renovate,Open,,,2021-12-26,29.495717,-98.490562,,https://www.alamocitygolftrail.com/olmos-basin-improvements/,,,,,,,,,,,McKush,,,AlamoCityGolf/status/1407693686008385538,Hole 12,,,Greg McKush,,,,
N America,USA,Utah,,Timp Legacy Trail,Govt.,Public,Short,2021,,Atkinson,$4M,,,,,,,,,,,,,New,Open,,,2021-04-12,40.208073,-111.653369,,https://www.timpanogosgolf.com/legacy-trail/,,,,,,,,,,,Snag,,,AtkinsonGolf/status/1333935650152714241,Images,,,,,,,
N America,USA,Vermont,,Burlington CC ,Once,,,2021,,McNeil ,,,,,,,,,,,,,,Restore,Open,,Ross,2020-05-02,44.466375,-73.197558,,https://www.burlingtoncountryclub.org,,,,,,,,,,,Bunkers,,,,,,,,,,,
N America,USA,Virginia,,Belmont ,Govt.,Public,,2021,,Love Sherman,$5M,,,,MacCurrach,http://www.maccurrachgolf.com/,,,,,,,,Rebuild ,Open,,Tillinghast ,2021-03-04,37.618363,-77.464182,,https://golf.com/travel/courses/muni-mondays-belmont-virginia-12-holes/,,neY2s-YRU7I,playbelmontrva,VA,,,,,,,Snow Canyon,,Henrico County,Love3GolfDesign/status/1366194940057948160,View,,,,,,,
N America,USA,Washington,,Gamble Sands Quicksand,Holiday,,,2021,,Kidd,,,,,,,,,,,,,,New,Open,,Kidd,2021-05-05,48.075375,-119.652155,,https://www.linksmagazine.com/quicksands-short-course-gamble-sands/?fbclid=IwAR38Ta9CWzVGjLTH0sJGfoSXQsuxEMIMwruzKFRhbdjH5o9n_LcFh2-n6Ys,,uGqU7Zb9nwo,gamblesandsgolf,Kidd,,,,,,,,,July,LinksGems/status/1365129034263367681,Images,,,,,,,
N America,USA,Washington,,Skamania,Once,Member,Short,2021,,Costello,,,,,,,,,,,,,,New,Open,,,2021-01-09,45.68574,-121.904835,,https://www.skamania.com/golf_course/,,kOIffvXdOcs,,,,,,,,,Gorge 9,,Costello,,,,,,,,,
N America,USA,Washington,,Wing Point,Once,,,2021,,Mingay,,,,,,,,,,,,,,Renovate,Open,,,2020-09-22,47.631541,-122.640671,,https://www.wingpointgolf.com/,,un17EIBuubQ,,,,,,,,,Bainbridge,,2016 Mingay,,,,,,,,,
N America,USA,Washington,,Inglewood,Once,,,2021,,Mingay,,,,,Ridgetop,,,,,,,,,Restore,Open,,Macan,2021-05-07,47.750583,-122.290448,,https://www.inglewoodgolfclub.com/,,,,,,,,,,,,,,,,,,,,,,
N America,USA,Wisconsin,,Blackwolf Run Baths,Holiday,Public,,2021,,Lutzke,,,,,,,,,,,,,,New,Open,,,2021-06-04,43.7269,-87.778073,,https://www.americanclubresort.com/,,,,,,,,,,,,,,GOLF_com/status/1285575063543177217,GOLF,,,,,,,
N America,USA,Wisconsin,,Pioneer Pointe,Once,,Short,2021,,Lohmann Quitno,,,,,Integrity GE,,,,,,,,,New,Open,,,2020-11-23,43.058151,-89.582862,,https://www.pioneerpointegolf.com/hole-by-hole,,,,,,,,,,,,,,LohmannQuitno/status/1329631605871218691,Hole 11,,,,,,,
N America,USA,Wisconsin,,Trapper's Turn,Once,,Short,2021,,Haltom North,,,,,,,,,,,,,,New,Open,,,2021-01-25,43.633337,-89.799689,,https://www.trappersturn.com/,,,,,,,,,,,,,,garydamatogolf/status/1217505577309556741,12North,,,,,,,
N America,USA,Wisconsin,,Pine Hills CC,Once,,,2021,,Rogers,,,,,,,,,,,,,,Renovate,Open,,Langford,2022-04-21,43.76653,-87.774341,,https://www.pinehillscc.com/golf/course-improvement-blog-204.html,,,,,,,,,,,,,,BryanTweed16/status/1240679027716886529,Pics,,,,,,,
N America,USA,Wyoming,,Teton Pines,Once,Member,,2021,,Hochstein Layton,,,,,,,,,,,,,,Renovate,Open,,Palmer,2022-06-14,43.528607,-110.880638,,https://www.tetonpines.com/golf,,,,,,,,,,,,,,,,,,,,,,
